position_id,status,code,name,sector33,entry_date,entry_price,quantity,cost_basis,current_price,market_value,highest_close,stop_price,target_price,trailing_stop_pct,holding_days,sector_research_priority,sector_leader_score,sector_rotation,unrealized_pnl,unrealized_return,exit_date,exit_price,exit_reason,realized_pnl,realized_return
2026-07-15-8624,CLOSED,8624,いちよし証券,証券、商品先物取引業,2026-07-15,1630.0,700,1141000.0,1501.0,1050700.0,1630.0,1515.9,1858.2,0.1,2,優先,80.7,加速,0.0,-0.0791411042944785,2026-07-17,1501.0,STOP_LOSS,-90300.0,-0.0791411042944785
2026-07-13-6194,CLOSED,6194,アトラエ,サービス業,2026-07-13,816.0,1400,1142400.0,840.0,1176000.0,840.0,758.88,930.24,0.1,6,優先,73.1,履歴開始,0.0,0.0294117647058822,2026-07-21,840.0,SIGNAL_EXIT,33600.0,0.0294117647058822
2026-07-13-7453,CLOSED,7453,良品計画,小売業,2026-07-13,4233.0,200,846600.0,4244.0,848800.0,4370.0,3936.69,4825.62,0.1,6,優先,75.4,履歴開始,0.0,0.0025986298133711,2026-07-21,4244.0,SIGNAL_EXIT,2200.0,0.0025986298133711
2026-07-13-8008,CLOSED,8008,ヨンドシーホールディングス,小売業,2026-07-13,2109.0,500,1054500.0,2136.0,1068000.0,2177.0,1961.37,2404.26,0.1,6,優先,76.1,履歴開始,0.0,0.0128022759601706,2026-07-21,2136.0,SIGNAL_EXIT,13500.0,0.0128022759601706
2026-07-14-4175,CLOSED,4175,ｃｏｌｙ,情報・通信業,2026-07-14,2842.0,400,1136800.0,2757.0,1102800.0,2842.0,2643.06,3239.88,0.1,5,優先,72.9,改善,0.0,-0.0299085151301899,2026-07-21,2757.0,SIGNAL_EXIT,-34000.0,-0.0299085151301899
2026-07-14-7085,CLOSED,7085,カーブスホールディングス,サービス業,2026-07-14,986.0,1200,1183200.0,954.0,1144800.0,986.0,916.98,1124.04,0.1,5,優先,75.0,改善,0.0,-0.0324543610547667,2026-07-21,954.0,SIGNAL_EXIT,-38400.0,-0.0324543610547667
2026-07-14-8200,CLOSED,8200,リンガーハット,小売業,2026-07-14,2388.0,200,477600.0,2265.0,453000.0,2388.0,2220.84,2722.32,0.1,5,優先,74.2,改善,0.0,-0.0515075376884421,2026-07-21,2265.0,SIGNAL_EXIT,-24600.0,-0.0515075376884421
2026-07-15-7327,CLOSED,7327,第四北越フィナンシャルグループ,銀行業,2026-07-15,2361.0,100,236100.0,2325.0,232500.0,2361.0,2195.73,2691.54,0.1,5,優先,77.1,加速,0.0,-0.0152477763659466,2026-07-22,2325.0,SIGNAL_EXIT,-3600.0,-0.0152477763659466
2026-07-15-7350,CLOSED,7350,おきなわフィナンシャルグループ,銀行業,2026-07-15,7300.0,100,730000.0,7110.0,711000.0,7310.0,6789.0,8322.0,0.1,5,優先,82.3,加速,0.0,-0.0260273972602739,2026-07-22,7110.0,SIGNAL_EXIT,-19000.0,-0.0260273972602739
2026-07-17-3946,CLOSED,3946,トーモク,パルプ・紙,2026-07-17,4325.0,200,865000.0,4480.0,896000.0,4480.0,4022.25,4930.5,0.1,5,優先,82.6,改善,0.0,0.0358381502890172,2026-07-24,4480.0,SIGNAL_EXIT,31000.0,0.0358381502890172
2026-07-21-3864,CLOSED,3864,三菱製紙,パルプ・紙,2026-07-21,1226.0,900,1103400.0,1133.0,1019700.0,1226.0,1140.18,1397.64,0.1,3,優先,80.5,加速,0.0,-0.0758564437194126,2026-07-24,1133.0,STOP_LOSS,-83700.0,-0.0758564437194126
2026-07-21-7867,CLOSED,7867,タカラトミー,その他製品,2026-07-21,3690.0,300,1107000.0,3417.0,1025100.0,3690.0,3431.7,4206.6,0.1,3,優先,78.3,改善,0.0,-0.0739837398373983,2026-07-24,3417.0,STOP_LOSS,-81900.0,-0.0739837398373983
2026-07-21-7322,CLOSED,7322,三十三フィナンシャルグループ,銀行業,2026-07-21,1932.0,100,193200.0,1978.0,197800.0,2054.0,1796.76,2202.48,0.1,5,優先,78.3,加速,0.0,0.0238095238095237,2026-07-28,1978.0,SIGNAL_EXIT,4600.0,0.0238095238095237
2026-07-21-7389,CLOSED,7389,あいちフィナンシャルグループ,銀行業,2026-07-21,1824.0,600,1094400.0,1823.0,1093800.0,1875.0,1696.32,2079.36,0.1,5,優先,82.8,加速,0.0,-0.0005482456140351,2026-07-28,1823.0,SIGNAL_EXIT,-600.0,-0.0005482456140351
2026-07-21-8393,CLOSED,8393,宮崎銀行,銀行業,2026-07-21,2363.0,100,236300.0,2446.0,244600.0,2553.0,2197.59,2693.82,0.1,5,優先,78.3,加速,0.0,0.0351248413034277,2026-07-28,2446.0,SIGNAL_EXIT,8300.0,0.0351248413034277
2026-07-21-9278,CLOSED,9278,ブックオフグループホールディングス,小売業,2026-07-21,2638.0,400,1055200.0,2733.0,1093200.0,2733.0,2453.34,3007.32,0.1,5,優先,75.9,改善,0.0,0.0360121304018195,2026-07-28,2733.0,SIGNAL_EXIT,38000.0,0.0360121304018195
2026-07-21-9831,CLOSED,9831,ヤマダホールディングス,小売業,2026-07-21,728.0999755859375,1600,1164959.9609375,739.2999877929688,1182879.98046875,739.2999877929688,677.13,830.04,0.1,5,優先,83.0,改善,0.0,0.0153825196849073,2026-07-28,739.2999877929688,SIGNAL_EXIT,17920.01953125,0.0153825196849073
2026-07-27-3132,CLOSED,3132,マクニカホールディングス,卸売業,2026-07-27,3579.0,200,715800.0,3082.0,616400.0,3579.0,3328.47,4080.06,0.1,1,優先,81.0,改善,0.0,-0.1388656049175747,2026-07-28,3082.0,STOP_LOSS,-99400.0,-0.1388656049175747
2026-07-22-8622,CLOSED,8622,水戸証券,証券、商品先物取引業,2026-07-22,779.0,1300,1012700.0,787.0,1023100.0,791.0,724.47,888.06,0.1,5,優先,79.3,加速,0.0,0.010269576379974277,2026-07-29,787.0,SIGNAL_EXIT,10400.0,0.010269576379974277
2026-07-27-7175,CLOSED,7175,今村証券,証券、商品先物取引業,2026-07-27,1787.0,600,1072200.0,1650.0,990000.0,1787.0,1661.91,2037.18,0.1,2,優先,82.2,加速,0.0,-0.076664801343033,2026-07-29,1650.0,STOP_LOSS,-82200.0,-0.076664801343033
